Destination,Year,Migrating from the country
France,2015 Females,1124724
France,2020 Females,1235351
French Guiana,2015 Combined,5410
French Guiana,2020 Combined,5580
French Guiana,2015 Males,2361
French Guiana,2020 Males,2480
French Guiana,2015 Females,3049
French Guiana,2020 Females,3100
French Polynesia,2015 Combined,1978
French Polynesia,2020 Combined,2157
French Polynesia,2015 Males,1082
French Polynesia,2020 Males,1187
French Polynesia,2015 Females,896
French Polynesia,2020 Females,970
Gabon,2015 Combined,43111
Gabon,2020 Combined,48430
Gabon,2015 Males,20672
Gabon,2020 Males,23243
Gabon,2015 Females,22439
Gabon,2020 Females,25187
Gambia,2015 Combined,96996
Gambia,2020 Combined,139244
Gambia,2015 Males,60500
Gambia,2020 Males,93444
Gambia,2015 Females,36496
Gambia,2020 Females,45800
Georgia,2015 Combined,829022
Georgia,2020 Combined,861170
Georgia,2015 Males,411358
Georgia,2020 Males,428826
Georgia,2015 Females,417664
Georgia,2020 Females,432344
Germany,2015 Combined,3695738
Germany,2020 Combined,3918946
Germany,2015 Males,1724232
Germany,2020 Males,1818871
Germany,2015 Females,1971506
Germany,2020 Females,2100075
Ghana,2015 Combined,892410
Ghana,2020 Combined,1006866
Ghana,2015 Males,466280
Ghana,2020 Males,531207
Ghana,2015 Females,426130
Ghana,2020 Females,475659
Gibraltar,2015 Combined,11930
Gibraltar,2020 Combined,13403
Gibraltar,2015 Males,5771
Gibraltar,2020 Males,6439
Gibraltar,2015 Females,6159
Gibraltar,2020 Females,6964
Greece,2015 Combined,823830
Greece,2020 Combined,1092391
Greece,2015 Males,423266
Greece,2020 Males,569262
Greece,2015 Females,400564
Greece,2020 Females,523129
Greenland,2015 Combined,16726
Greenland,2020 Combined,17881
Greenland,2015 Males,7157
Greenland,2020 Males,7661
Greenland,2015 Females,9569
Greenland,2020 Females,10220
Grenada,2015 Combined,69367
Grenada,2020 Combined,62511
Grenada,2015 Males,30166
Grenada,2020 Males,27712
Grenada,2015 Females,39201
Grenada,2020 Females,34799
Guadeloupe,2015 Combined,14014
Guadeloupe,2020 Combined,14813
Guadeloupe,2015 Males,5713
Guadeloupe,2020 Males,6121
Guadeloupe,2015 Females,8301
Guadeloupe,2020 Females,8692
Guam,2015 Combined,3131
Guam,2020 Combined,3222
Guam,2015 Males,1443
Guam,2020 Males,1465
Guam,2015 Females,1688
Guam,2020 Females,1757
Guatemala,2015 Combined,1120380
Guatemala,2020 Combined,1371070
Guatemala,2015 Males,559005
Guatemala,2020 Males,678041
Guatemala,2015 Females,561375
Guatemala,2020 Females,693029
Guinea,2015 Combined,493490
Guinea,2020 Combined,550873
Guinea,2015 Males,273087
Guinea,2020 Males,312112
Guinea,2015 Females,220403
Guinea,2020 Females,238761
Guinea-Bissau,2015 Combined,99256
Guinea-Bissau,2020 Combined,112989
Guinea-Bissau,2015 Males,52278
Guinea-Bissau,2020 Males,61437
Guinea-Bissau,2015 Females,46978
Guinea-Bissau,2020 Females,51552
Guyana,2015 Combined,508384
Guyana,2020 Combined,466964
Guyana,2015 Males,236209
Guyana,2020 Males,215825
Guyana,2015 Females,272175
Guyana,2020 Females,251139
Haiti,2015 Combined,1528684
Haiti,2020 Combined,2063498
Haiti,2015 Males,826249
Haiti,2020 Males,1136312
Haiti,2015 Females,702435
Haiti,2020 Females,927186
Holy See,2015 Combined,310
Holy See,2020 Combined,174
Holy See,2015 Males,115
Holy See,2020 Males,71
Holy See,2015 Females,195
Holy See,2020 Females,103
Honduras,2015 Combined,731755
Honduras,2020 Combined,987325
Honduras,2015 Males,306556
Honduras,2020 Males,402146
Honduras,2015 Females,425199
Honduras,2020 Females,585179
Hungary,2015 Combined,604822
Hungary,2020 Combined,718516
Hungary,2015 Males,294389
Hungary,2020 Males,354476
Hungary,2015 Females,310433
Hungary,2020 Females,364040
Iceland,2015 Combined,37596
Iceland,2020 Combined,43899
Iceland,2015 Males,18737
Iceland,2020 Males,21610
Iceland,2015 Females,18859
Iceland,2020 Females,22289
India,2015 Combined,15888812
India,2020 Combined,17873978
India,2015 Males,10358873
India,2020 Males,11735488
India,2015 Females,5529939
India,2020 Females,6138490
Indonesia,2015 Combined,4066144
Indonesia,2020 Combined,4602521
Indonesia,2015 Males,2272713
Indonesia,2020 Males,2561317
Indonesia,2015 Females,1793431
Indonesia,2020 Females,2041204
Iran (Islamic Republic of),2015 Combined,1157155
Iran (Islamic Republic of),2020 Combined,1326743
Iran (Islamic Republic of),2015 Males,617959
Iran (Islamic Republic of),2020 Males,709892
Iran (Islamic Republic of),2015 Females,539196
Iran (Islamic Republic of),2020 Females,616851
Iraq,2015 Combined,1676392
Iraq,2020 Combined,2078846
Iraq,2015 Males,910717
Iraq,2020 Males,1038572
Iraq,2015 Females,765675
Iraq,2020 Females,1040274
Ireland,2015 Combined,737458
Ireland,2020 Combined,735348
Ireland,2015 Males,335282
Ireland,2020 Males,342237
Ireland,2015 Females,402176
Ireland,2020 Females,393111
Isle of Man,2015 Combined,10583
Isle of Man,2020 Combined,12034
Isle of Man,2015 Males,5188
Isle of Man,2020 Males,5818
Isle of Man,2015 Females,5395
Isle of Man,2020 Females,6216
Israel,2015 Combined,335921
Israel,2020 Combined,363951
Israel,2015 Males,172626
Israel,2020 Males,188404
Israel,2015 Females,163295
Israel,2020 Females,175547
Italy,2015 Combined,2941410
Italy,2020 Combined,3539117
Italy,2015 Males,1542291
Italy,2020 Males,1900440
Italy,2015 Females,1399119
Italy,2020 Females,1638677
Jamaica,2015 Combined,1032075
Jamaica,2020 Combined,1119424
Jamaica,2015 Males,440652
Jamaica,2020 Males,475343
Jamaica,2015 Females,591423
Jamaica,2020 Females,644081
Japan,2015 Combined,837833
Japan,2020 Combined,890729
Japan,2015 Males,388520
Japan,2020 Males,405513
Japan,2015 Females,449313
Japan,2020 Females,485216
Jordan,2015 Combined,708464
Jordan,2020 Combined,816666
Jordan,2015 Males,450220
Jordan,2020 Males,518216
Jordan,2015 Females,258244
Jordan,2020 Females,298450
Kazakhstan,2015 Combined,3885629
Kazakhstan,2020 Combined,4203954
Kazakhstan,2015 Males,1810047
Kazakhstan,2020 Males,1934718
Kazakhstan,2015 Females,2075582
Kazakhstan,2020 Females,2269236
Kenya,2015 Combined,480717
Kenya,2020 Combined,535421
Kenya,2015 Males,227224
Kenya,2020 Males,252769
Kenya,2015 Females,253493
Kenya,2020 Females,282652
Kiribati,2015 Combined,4711
Kiribati,2020 Combined,5727
Kiribati,2015 Males,2353
Kiribati,2020 Males,2861
Kiribati,2015 Females,2358
Kiribati,2020 Females,2866
Kuwait,2015 Combined,195135
Kuwait,2020 Combined,212367
Kuwait,2015 Males,118323
Kuwait,2020 Males,129656
Kuwait,2015 Females,76812
Kuwait,2020 Females,82711
Kyrgyzstan,2015 Combined,742847
Kyrgyzstan,2020 Combined,774382
Kyrgyzstan,2015 Males,358757
Kyrgyzstan,2020 Males,368269
Kyrgyzstan,2015 Females,384090
Kyrgyzstan,2020 Females,406113
Lao People's Democratic Republic,2015 Combined,1289318
Lao People's Democratic Republic,2020 Combined,1297295
Lao People's Democratic Republic,2015 Males,592791
Lao People's Democratic Republic,2020 Males,571803
Lao People's Democratic Republic,2015 Females,696527
Lao People's Democratic Republic,2020 Females,725492
Latvia,2015 Combined,369668
Latvia,2020 Combined,380445
Latvia,2015 Males,165463
Latvia,2020 Males,172747
Latvia,2015 Females,204205
Latvia,2020 Females,207698
Lebanon,2015 Combined,780430
Lebanon,2020 Combined,880965
Lebanon,2015 Males,462054
Lebanon,2020 Males,521989
Lebanon,2015 Females,318376
Lebanon,2020 Females,358976
Lesotho,2015 Combined,191457
Lesotho,2020 Combined,202164
Lesotho,2015 Males,86078
Lesotho,2020 Males,89567
Lesotho,2015 Females,105379
Lesotho,2020 Females,112597
Liberia,2015 Combined,205785
Liberia,2020 Combined,233609
Liberia,2015 Males,102970
Liberia,2020 Males,116260
Liberia,2015 Females,102815
Liberia,2020 Females,117349
Libya,2015 Combined,152846
Libya,2020 Combined,185818
Libya,2015 Males,81812
Libya,2020 Males,101302
Libya,2015 Females,71034
Libya,2020 Females,84516
Liechtenstein,2015 Combined,3633
Liechtenstein,2020 Combined,3804
Liechtenstein,2015 Males,1635
Liechtenstein,2020 Males,1726
Liechtenstein,2015 Females,1998
Liechtenstein,2020 Females,2078
Lithuania,2015 Combined,557580
Lithuania,2020 Combined,659397
Lithuania,2015 Males,245298
Lithuania,2020 Males,289071
Lithuania,2015 Females,312282
Lithuania,2020 Females,370326
Luxembourg,2015 Combined,69547
Luxembourg,2020 Combined,81953
Luxembourg,2015 Males,32811
Luxembourg,2020 Males,40562
Luxembourg,2015 Females,36736
Luxembourg,2020 Females,41391
Madagascar,2015 Combined,175923
Madagascar,2020 Combined,193582
Madagascar,2015 Males,68229
Madagascar,2020 Males,74987
Madagascar,2015 Females,107694
Madagascar,2020 Females,118595
Malawi,2015 Combined,297490
Malawi,2020 Combined,311070
Malawi,2015 Males,172333
Malawi,2020 Males,185437
Malawi,2015 Females,125157
Malawi,2020 Females,125633
Malaysia,2015 Combined,1781303
Malaysia,2020 Combined,1860347
Malaysia,2015 Males,816297
Malaysia,2020 Males,805320
Malaysia,2015 Females,965006
Malaysia,2020 Females,1055027
Maldives,2015 Combined,3617
Maldives,2020 Combined,3726
Maldives,2015 Males,1685
Maldives,2020 Males,1745
Maldives,2015 Females,1932
Maldives,2020 Females,1981
Mali,2015 Combined,1228553
Mali,2020 Combined,1303519
Mali,2015 Males,696323
Mali,2020 Males,742064
Mali,2015 Females,532230
Mali,2020 Females,561455
Malta,2015 Combined,93616
Malta,2020 Combined,102872
Malta,2015 Males,47256
Malta,2020 Males,51761
Malta,2015 Females,46360
Malta,2020 Females,51111
Marshall Islands,2015 Combined,7997
Marshall Islands,2020 Combined,11269
Marshall Islands,2015 Males,3947
Marshall Islands,2020 Males,5507
Marshall Islands,2015 Females,4050
Marshall Islands,2020 Females,5762
Martinique,2015 Combined,15372
Martinique,2020 Combined,15985
Martinique,2015 Males,6828
Martinique,2020 Males,7095
Martinique,2015 Females,8544
Martinique,2020 Females,8890
Mauritania,2015 Combined,114632
Mauritania,2020 Combined,130227
Mauritania,2015 Males,71355
Mauritania,2020 Males,80059
Mauritania,2015 Females,43277
Mauritania,2020 Females,50168
Mauritius,2015 Combined,165869
Mauritius,2020 Combined,182973
Mauritius,2015 Males,74559
Mauritius,2020 Males,82790
Mauritius,2015 Females,91310
Mauritius,2020 Females,100183
Mayotte,2015 Combined,6545
Mayotte,2020 Combined,6767
Mayotte,2015 Males,3199
Mayotte,2020 Males,3305
Mayotte,2015 Females,3346
Mayotte,2020 Females,3462
Mexico,2015 Combined,11958279
Mexico,2020 Combined,11231897
Mexico,2015 Males,6375904
Mexico,2020 Males,5971195
Mexico,2015 Females,5582375
Mexico,2020 Females,5260702
Micronesia,2015 Combined,62625
Micronesia,2020 Combined,72710
Micronesia,2015 Males,31301
Micronesia,2020 Males,36113
Micronesia,2015 Females,31324
Micronesia,2020 Females,36597
Micronesia (Fed. States of),2015 Combined,33033
Micronesia (Fed. States of),2020 Combined,37981
Micronesia (Fed. States of),2015 Males,16575
Micronesia (Fed. States of),2020 Males,18931
Micronesia (Fed. States of),2015 Females,16458
Micronesia (Fed. States of),2020 Females,19050
Monaco,2015 Combined,29475
Monaco,2020 Combined,32722
Monaco,2015 Males,13970
Monaco,2020 Males,15536
Monaco,2015 Females,15505
Monaco,2020 Females,17186
Mongolia,2015 Combined,65487
Mongolia,2020 Combined,82099
Mongolia,2015 Males,30999
Mongolia,2020 Males,39366
Mongolia,2015 Females,34488
Mongolia,2020 Females,42733
Montenegro,2015 Combined,134329
Montenegro,2020 Combined,133249
Montenegro,2015 Males,61474
Montenegro,2020 Males,61684
Montenegro,2015 Females,72855
Montenegro,2020 Females,71565
Montserrat,2015 Combined,20136
Montserrat,2020 Combined,24582
Montserrat,2015 Males,8863
Montserrat,2020 Males,10680
Montserrat,2015 Females,11273
Montserrat,2020 Females,13902
Morocco,2015 Combined,2973695
Morocco,2020 Combined,3264173
Morocco,2015 Males,1576310
Morocco,2020 Males,1708515
Morocco,2015 Females,1397385
Morocco,2020 Females,1555658
Mozambique,2015 Combined,598684
Mozambique,2020 Combined,642031
Mozambique,2015 Males,348849
Mozambique,2020 Males,386772
Mozambique,2015 Females,249835
Mozambique,2020 Females,255259
Myanmar,2015 Combined,2842517
Myanmar,2020 Combined,3711774
Myanmar,2015 Males,1593444
Myanmar,2020 Males,2323915
Myanmar,2015 Females,1249073
Myanmar,2020 Females,1387859
Namibia,2015 Combined,50469
Namibia,2020 Combined,47833
Namibia,2015 Males,25090
Namibia,2020 Males,23664
Namibia,2015 Females,25379
Namibia,2020 Females,24169
Nauru,2015 Combined,3738
Nauru,2020 Combined,4040
Nauru,2015 Males,1868
Nauru,2020 Males,2006
Nauru,2015 Females,1870
