Destination,Year,Migrating into the country
Luxembourg,2015 Combined,248888
Luxembourg,2020 Combined,298062
Luxembourg,2015 Males,126129
Luxembourg,2020 Males,151653
Luxembourg,2015 Females,122759
Luxembourg,2020 Females,146409
Madagascar,2015 Combined,32075
Madagascar,2020 Combined,35563
Madagascar,2015 Males,18270
Madagascar,2020 Males,20262
Madagascar,2015 Females,13805
Madagascar,2020 Females,15301
Malawi,2015 Combined,197328
Malawi,2020 Combined,191362
Malawi,2015 Males,93689
Malawi,2020 Males,93612
Malawi,2015 Females,103639
Malawi,2020 Females,97750
Malaysia,2015 Combined,3280681
Malaysia,2020 Combined,3476560
Malaysia,2015 Males,1996220
Malaysia,2020 Males,2156265
Malaysia,2015 Females,1284461
Malaysia,2020 Females,1320295
Maldives,2015 Combined,64273
Maldives,2020 Combined,70079
Maldives,2015 Males,56345
Maldives,2020 Males,61437
Maldives,2015 Females,7928
Maldives,2020 Females,8642
Mali,2015 Combined,420504
Mali,2020 Combined,485829
Mali,2015 Males,213218
Mali,2020 Males,246308
Mali,2015 Females,207286
Mali,2020 Females,239521
Malta,2015 Combined,52642
Malta,2020 Combined,114760
Malta,2015 Males,28332
Malta,2020 Males,66055
Malta,2015 Females,24310
Malta,2020 Females,48705
Marshall Islands,2015 Combined,3801
Marshall Islands,2020 Combined,3819
Marshall Islands,2015 Males,2318
Marshall Islands,2020 Males,2330
Marshall Islands,2015 Females,1483
Marshall Islands,2020 Females,1489
Martinique,2015 Combined,69174
Martinique,2020 Combined,68624
Martinique,2015 Males,29432
Martinique,2020 Males,29199
Martinique,2015 Females,39742
Martinique,2020 Females,39425
Mauritania,2015 Combined,166552
Mauritania,2020 Combined,182286
Mauritania,2015 Males,94070
Mauritania,2020 Males,103203
Mauritania,2015 Females,72482
Mauritania,2020 Females,79083
Mauritius,2015 Combined,28585
Mauritius,2020 Combined,28893
Mauritius,2015 Males,15832
Mauritius,2020 Males,16003
Mauritius,2015 Females,12753
Mauritius,2020 Females,12890
Mayotte,2015 Combined,81386
Mayotte,2020 Combined,111540
Mayotte,2015 Males,37657
Mayotte,2020 Males,51609
Mayotte,2015 Females,43729
Mayotte,2020 Females,59931
Mexico,2015 Combined,1013691
Mexico,2020 Combined,1197624
Mexico,2015 Males,508232
Mexico,2020 Males,601509
Mexico,2015 Females,505459
Mexico,2020 Females,596115
Micronesia,2015 Combined,127096
Micronesia,2020 Combined,133067
Micronesia,2015 Males,64394
Micronesia,2020 Males,67310
Micronesia,2015 Females,62702
Micronesia,2020 Females,65757
Micronesia (Fed. States of),2015 Combined,3241
Micronesia (Fed. States of),2020 Combined,3322
Micronesia (Fed. States of),2015 Males,1736
Micronesia (Fed. States of),2020 Males,1784
Micronesia (Fed. States of),2015 Females,1505
Micronesia (Fed. States of),2020 Females,1538
Monaco,2015 Combined,25983
Monaco,2020 Combined,26601
Monaco,2015 Males,12599
Monaco,2020 Males,12897
Monaco,2015 Females,13384
Monaco,2020 Females,13704
Mongolia,2015 Combined,19886
Mongolia,2020 Combined,21345
Mongolia,2015 Males,13284
Mongolia,2020 Males,14263
Mongolia,2015 Females,6602
Mongolia,2020 Females,7082
Montenegro,2015 Combined,71719
Montenegro,2020 Combined,70999
Montenegro,2015 Males,28178
Montenegro,2020 Males,27995
Montenegro,2015 Females,43541
Montenegro,2020 Females,43004
Montserrat,2015 Combined,1351
Montserrat,2020 Combined,1379
Montserrat,2015 Males,696
Montserrat,2020 Males,711
Montserrat,2015 Females,655
Montserrat,2020 Females,668
Morocco,2015 Combined,92424
Morocco,2020 Combined,102358
Morocco,2015 Males,46387
Morocco,2020 Males,52707
Morocco,2015 Females,46037
Morocco,2020 Females,49651
Mozambique,2015 Combined,321794
Mozambique,2020 Combined,338850
Mozambique,2015 Males,155510
Mozambique,2020 Males,165490
Mozambique,2015 Females,166284
Mozambique,2020 Females,173360
Myanmar,2015 Combined,73309
Myanmar,2020 Combined,76446
Myanmar,2015 Males,40178
Myanmar,2020 Males,41898
Myanmar,2015 Females,33131
Myanmar,2020 Females,34548
Namibia,2015 Combined,101618
Namibia,2020 Combined,109391
Namibia,2015 Males,54739
Namibia,2020 Males,59024
Namibia,2015 Females,46879
Namibia,2020 Females,50367
Nauru,2015 Combined,2042
Nauru,2020 Combined,2442
Nauru,2015 Males,1141
Nauru,2020 Males,1423
Nauru,2015 Females,901
Nauru,2020 Females,1019
Nepal,2015 Combined,509471
