"Country name","Year","Population","Population of children under the age of 1","Population of children under the age of 5","Population of children under the age of 15","Population under the age of 25","Population aged 15 to 64 years","Population at age 1","Population aged 1 to 4 years","Population aged 5 to 9 years","Population aged 10 to 14 years","Population aged 15 to 19 years","Population aged 20 to 29 years","Population aged 30 to 39 years","Population aged 40 to 49 years","Population aged 50 to 59 years","Population aged 60 to 69 years","Population aged 70 to 79 years","Population aged 80 to 89 years","Population aged 90 to 99 years","Population older than 100 years","population__all__15plus__records","population__all__18plus__records"
"Tanzania",2015,52542824,1937883,8967265,23563190,33468216,27366368,1855995,7029382,7890487,6705438,5447399,8394365,6319073,3877088,2421603,1606630,707405,185218,20424,431,28979204,25575792
"Tanzania",2016,54401804,1992562,9248245,24342530,34665508,28384722,1921534,7255683,8087539,7006746,5710563,8640272,6570375,4063926,2479067,1633884,747929,191424,21372,460,30058812,26488964
"Tanzania",2017,56267040,2046060,9549054,25091652,35854264,29438314,1975185,7502994,8264016,7278581,5972444,8915199,6800070,4265808,2548101,1661917,790439,198524,22395,490,31174896,27438186
"Tanzania",2018,58090444,2093252.9,9836101,25788682,37001356,30500298,2026312,7742848,8441650,7510931,6225133,9206481,6998086,4482685,2631004,1696012,831853,206693,23295,520,32301242,28407024
"Tanzania",2019,59872584,2134885,10082257,26431466,38108776,31572790,2071381.1,7947372,8643595,7705613,6467916,9516931,7169003,4708824,2729378,1739302,869312,216034,23868,551,33440568,29400372
"Tanzania",2020,61704520,2175841,10312368,27074322,39240296,32700276,2114343,8136527,8877698,7884256,6723135,9861486,7337292,4938771,2837868,1780672,901504,224761,24133,577,34629620,30436616
"Thailand",2015,70294410,751912,3941600,12232957,22166186,50354508,773894,3189688,4079993,4211364,4886816,10095988,10421798,10852127,10326201,6529873,3318784,1386826,224249,18788,58042660,55229220
"Thailand",2016,70607030,729782,3861302,12083166,21876328,50413110,751577,3131520,4075376,4146488,4726838,10135170,10419740,10719695,10469469,6874101,3432499,1476370,249513,20474,58503396,55792800
"Thailand",2017,70898210,711214,3763051,11936831,21582544,50431860,729601,3051837,4067867,4105913,4559297,10171462,10406116,10598753,10571523,7215582,3575930,1561607,278931,22173,58939200,56298936
"Thailand",2018,71127810,692644,3659288,11792333,21276720,50371384,710625,2966644,4044670,4088375,4408977,10147854,10375272,10481721,10648923,7543218,3748270,1645696,311744,23800,59311676,56734652
"Thailand",2019,71307770,673328,3556747,11641699,20949746,50247484,691834,2883419,4001845,4083107,4295657,10064242,10330238,10373869,10696276,7861810,3934559,1736803,347231,25381,59640684,57125016
